ST,CD,Name,Region ID
PA,6,UPPER SUSQUEHANNA,3606
PA,7,CENTRAL MOUNTAINS,3607
PA,8,SOUTH CENTRAL MOUNTAINS,3608
PA,9,SOUTHWEST PLATEAU,3609
PA,10,NORTHWEST PLATEAU,3610
RI,1,ALL,3701
SC,1,MOUNTAIN,3801
SC,2,NORTHWEST,3802
SC,3,NORTH CENTRAL,3803
SC,4,NORTHEAST,3804
SC,5,WEST CENTRAL,3805
SC,6,CENTRAL,3806
SC,7,SOUTHERN,3807
SD,1,NORTHWEST,3901
SD,2,NORTH CENTRAL,3902
SD,3,NORTHEAST,3903
SD,4,BLACK HILLS,3904
SD,5,SOUTHWEST,3905
SD,6,CENTRAL,3906
SD,7,EAST CENTRAL,3907
SD,8,SOUTH CENTRAL,3908
SD,9,SOUTHEAST,3909
TN,1,EASTERN,4001
TN,2,CUMBERLAND PLATEAU,4002
TN,3,MIDDLE,4003
TN,4,WESTERN,4004
TX,1,HIGH PLAINS,4101
TX,2,LOW ROLLING PLAINS,4102
TX,3,NORTH CENTRAL,4103
TX,4,EAST TEXAS,4104
TX,5,TRANS PECOS,4105
TX,6,EDWARDS PLATEAU,4106
TX,7,SOUTH CENTRAL,4107
TX,8,UPPER COAST,4108
TX,9,SOUTHERN,4109
TX,10,LOWER VALLEY,4110
UT,1,WESTERN,4201
UT,2,DIXIE,4202
UT,3,NORTH CENTRAL,4203
UT,4,SOUTH CENTRAL,4204
UT,5,NORTHERN MOUNTAINS,4205
UT,6,UINTA BASIN,4206
UT,7,SOUTHEAST,4207
VT,1,NORTHEASTERN,4301
VT,2,WESTERN,4302
VT,3,SOUTHEASTERN,4303
VA,1,TIDEWATER,4401
VA,2,EASTERN PIEDMONT,4402
VA,3,WESTERN PIEDMONT,4403
VA,4,NORTHERN,4404
VA,5,CENTRAL MOUNTAIN,4405
VA,6,SOUTHWESTERN MOUNTAIN,4406
WA,1,WEST OLYMPIC COAST,4501
WA,2,NE OLYMPIC SAN JUAN,4502
WA,3,PUGET SOUND LOWLANDS,4503
WA,4,E OLYMPIC CASCADE FOOTHILLS,4504
WA,5,CASCADE MOUNTAINS WEST,4505
WA,6,EAST SLOPE CASCADES,4506
WA,7,OKANOGAN BIG BEND,4507
WA,8,CENTRAL BASIN,4508
WA,9,NORTHEASTERN,4509
WA,10,PALOUSE BLUE MOUNTAINS,4510
WV,1,NORTHWESTERN,4601
WV,2,NORTH CENTRAL,4602
WV,3,SOUTHWESTERN,4603
WV,4,CENTRAL,4604
WV,5,SOUTHERN,4605
WV,6,NORTHEASTERN,4606
WI,1,NORTHWEST,4701
WI,2,NORTH CENTRAL,4702
WI,3,NORTHEAST,4703
WI,4,WEST CENTRAL,4704
WI,5,CENTRAL,4705
WI,6,EAST CENTRAL,4706
WI,7,SOUTHWEST,4707
WI,8,SOUTH CENTRAL,4708
WI,9,SOUTHEAST,4709
WY,1,YELLOWSTONE DRAINAGE,4801
WY,2,SNAKE DRAINAGE,4802
WY,3,GREEN AND BEAR DRAINAGE,4803
WY,4,BIG HORN,4804
WY,5,"POWDER, LITTLE MISSOURI, TONGU",4805
WY,6,BELLE FOURCHE DRAINAGE,4806
WY,7,CHEYENNE & NIOBRARA DRAINAGE,4807
WY,8,LOWER PLATTE,4808
WY,9,WIND RIVER,4809
WY,10,UPPER PLATTE,4810
